FIPS,Name,State,FIPS5
1001,Autauga,AL,01001
1003,Baldwin,AL,01003
1005,Barbour,AL,01005
1007,Bibb,AL,01007
1009,Blount,AL,01009
1011,Bullock,AL,01011
1013,Butler,AL,01013
1015,Calhoun,AL,01015
1017,Chambers,AL,01017
1019,Cherokee,AL,01019
1021,Chilton,AL,01021
1023,Choctaw,AL,01023
1025,Clarke,AL,01025
1027,Clay,AL,01027
1029,Cleburne,AL,01029
1031,Coffee,AL,01031
1033,Colbert,AL,01033
1035,Conecuh,AL,01035
1037,Coosa,AL,01037
1039,Covington,AL,01039
1041,Crenshaw,AL,01041
1043,Cullman,AL,01043
1045,Dale,AL,01045
1047,Dallas,AL,01047
1049,De Kalb,AL,01049
1051,Elmore,AL,01051
1053,Escambia,AL,01053
1055,Etowah,AL,01055
1057,Fayette,AL,01057
1059,Franklin,AL,01059
1061,Geneva,AL,01061
1063,Greene,AL,01063
1065,Hale,AL,01065
1067,Henry,AL,01067
1069,Houston,AL,01069
1071,Jackson,AL,01071
1073,Jefferson,AL,01073
1075,Lamar,AL,01075
1077,Lauderdale,AL,01077
1079,Lawrence,AL,01079
1081,Lee,AL,01081
1083,Limestone,AL,01083
1085,Lowndes,AL,01085
1087,Macon,AL,01087
1089,Madison,AL,01089
1091,Marengo,AL,01091
1093,Marion,AL,01093
1095,Marshall,AL,01095
1097,Mobile,AL,01097
1099,Monroe,AL,01099
1101,Montgomery,AL,01101
1103,Morgan,AL,01103
1105,Perry,AL,01105
1107,Pickens,AL,01107
1109,Pike,AL,01109
1111,Randolph,AL,01111
1113,Russell,AL,01113
1115,St Clair,AL,01115
1117,Shelby,AL,01117
1119,Sumter,AL,01119
1121,Talladega,AL,01121
1123,Tallapoosa,AL,01123
1125,Tuscaloosa,AL,01125
1127,Walker,AL,01127
1129,Washington,AL,01129
1131,Wilcox,AL,01131
1133,Winston,AL,01133
2013,Aleutians East,AK,02013
2016,Aleutians West,AK,02016
2020,Anchorage,AK,02020
2050,Bethel,AK,02050
2060,Bristol Bay,AK,02060
2068,Denali,AK,02068
2070,Dillingham,AK,02070
2090,Fairbanks North Star,AK,02090
2100,Haines,AK,02100
2110,Juneau,AK,02110
2122,Kenai Peninsula,AK,02122
2130,Ketchikan Gateway,AK,02130
2150,Kodiak Island,AK,02150
2164,Lake and Peninsula,AK,02164
2170,Matanuska-Susitna,AK,02170
2180,Nome,AK,02180
2185,North Slope,AK,02185
2188,Northwest Arctic,AK,02188
2201,Prince of Wales-Outer Ketchikan,AK,02201
2220,Sitka,AK,02220
2232,Skagway-Hoonah-Angoon,AK,02232
2240,Southeast Fairbanks,AK,02240
2261,Valdez-Cordova,AK,02261
2270,Wade Hampton,AK,02270
2280,Wrangell-Petersburg,AK,02280
